temperature_c,ph,dissolved_oxygen_mg_l,salinity_ppt,ammonia_mg_l,feed_kg_day,shrimp_age_days,stocking_density_per_m2,high_risk
30.27,7.83,6.11,15.25,0.153,31.52,67,37.3,0
28.56,7.46,3.16,21.82,0.05,36.2,103,61.2,0
26.06,7.51,5.92,11.87,0.127,34.42,47,31.7,0
26.97,7.18,4.97,16.93,0.301,52.34,82,38.2,0
29.63,8.5,3.68,15.68,0.289,50.17,41,35.3,0
30.68,8.39,2.39,17.38,0.139,5.0,45,52.7,0
32.99,8.1,4.83,11.94,0.049,45.81,31,19.2,0
34.83,8.88,6.81,6.89,0.405,15.83,29,37.5,1
29.83,7.7,7.09,21.12,0.153,36.88,54,19.2,0
27.02,9.47,5.44,23.78,0.378,40.38,24,40.3,1
24.74,7.67,7.45,7.25,0.158,36.72,116,55.8,1
29.54,7.94,4.95,20.21,0.005,49.51,98,56.1,0
27.37,7.58,6.19,24.5,0.403,52.8,36,34.1,0
28.17,8.0,4.44,21.58,0.212,30.4,116,53.0,0
27.78,8.26,4.36,15.5,0.116,29.85,53,42.2,0
28.72,7.74,4.15,12.34,0.017,41.46,73,65.4,0
31.13,8.78,2.42,18.49,0.229,18.84,93,43.1,1
29.31,7.93,6.61,19.49,0.157,34.85,102,10.0,0
28.68,7.95,4.2,18.57,0.484,62.22,10,58.4,0
26.93,7.3,4.0,16.92,0.352,19.41,43,38.1,0
25.65,8.03,3.53,11.5,0.37,36.9,50,40.9,1
28.03,7.73,4.74,20.54,0.136,33.12,80,50.0,0
28.89,7.47,7.2,20.83,0.131,72.08,114,23.6,0
32.54,7.37,7.62,19.2,0.158,33.93,62,46.1,0
29.26,9.27,2.92,18.67,0.064,34.8,65,53.0,1
30.97,7.66,4.56,28.08,0.119,26.54,20,50.5,0
28.0,7.0,3.71,14.25,0.1,42.14,73,36.0,0
26.63,7.42,6.24,25.69,0.276,46.05,68,59.9,0
27.07,7.77,5.36,13.6,0.317,28.71,86,30.0,0
27.55,8.1,4.2,24.65,0.192,56.83,111,35.6,0
33.26,8.11,5.09,25.4,0.054,46.07,78,43.0,0
27.36,8.17,4.4,16.24,0.421,54.78,16,49.4,0
30.68,7.45,7.02,27.97,0.228,37.08,108,40.1,0
27.19,7.99,5.68,20.81,0.15,45.65,67,63.4,0
30.86,7.32,5.84,12.74,0.179,38.8,68,49.4,0
29.77,7.46,1.67,15.76,0.029,63.87,114,46.1,0
28.69,7.3,4.92,24.8,0.1,43.74,80,48.9,0
28.92,7.15,7.6,23.54,0.293,42.13,104,56.0,0
27.69,8.39,6.66,11.65,0.027,35.13,115,48.6,0
29.89,8.18,2.69,17.16,0.027,34.26,69,17.9,1
28.09,8.34,4.61,19.22,0.229,45.57,127,61.3,0
26.55,7.82,3.5,14.95,0.169,54.29,30,46.8,0
26.44,8.23,7.14,32.15,0.028,31.73,114,55.3,0
29.35,6.83,5.31,19.4,0.093,43.9,111,38.9,0
32.16,8.27,4.04,17.63,0.15,44.76,21,17.6,0
29.32,7.9,5.04,25.15,0.136,47.38,28,10.8,0
28.76,8.14,1.74,15.81,0.159,16.39,14,30.8,1
29.57,8.01,3.64,24.04,0.087,28.13,43,52.8,0
31.61,7.26,5.05,7.99,0.142,21.51,128,64.5,0
29.44,6.98,6.06,15.28,0.192,42.49,24,49.5,0
28.18,7.41,2.57,24.29,0.181,28.49,14,29.2,0
31.21,8.11,4.52,27.42,0.089,34.56,65,33.2,0
29.86,8.18,6.26,13.36,0.205,24.09,52,65.4,0
32.07,7.05,3.19,12.66,0.048,35.95,85,25.3,1
29.37,7.26,5.29,21.4,0.066,25.14,82,76.5,0
26.55,7.4,5.08,14.26,0.229,53.37,109,73.1,0
26.26,7.6,7.14,16.39,0.202,49.19,59,77.0,0
32.3,7.05,4.71,23.26,0.096,44.25,65,50.7,0
32.45,7.02,4.79,14.74,0.065,37.47,12,39.9,0
28.64,7.35,6.07,6.21,0.073,11.43,126,50.3,0
28.23,7.85,3.34,10.19,0.186,35.13,35,58.6,0
31.92,7.15,4.72,18.06,0.16,30.58,81,35.2,0
26.79,7.74,4.43,6.82,0.061,45.71,115,28.5,0
27.21,8.38,4.83,16.22,0.201,51.3,82,40.7,0
30.29,7.08,6.06,9.65,0.093,46.87,85,33.4,0
28.21,7.69,5.69,27.84,0.05,60.95,31,63.6,0
28.99,8.36,4.06,30.99,0.08,33.48,95,35.8,0
28.67,7.57,5.17,11.65,0.126,32.85,32,46.4,0
29.68,7.48,6.86,19.54,0.196,57.57,93,59.7,0
31.81,8.44,3.96,12.24,0.187,44.49,79,64.2,0
29.18,7.63,5.18,16.14,0.108,38.3,68,48.1,0
30.29,8.41,4.76,28.82,0.138,69.7,96,50.8,0
24.9,8.04,4.92,15.2,0.101,50.67,96,29.7,0
28.9,7.61,2.96,16.28,0.061,39.14,34,60.3,0
27.31,8.06,6.76,12.34,0.111,31.71,55,64.0,0
26.56,7.98,4.03,24.88,0.017,61.9,68,16.9,0
27.24,8.36,6.28,2.0,0.321,45.1,28,71.4,1
28.33,7.5,4.22,15.34,0.135,42.37,52,34.5,0
30.83,7.82,4.22,17.72,0.165,52.14,14,53.9,0
26.35,7.77,6.52,14.03,0.064,55.2,62,46.2,0
29.06,8.19,6.24,23.18,0.135,50.25,34,44.1,0
28.03,7.24,5.26,25.21,0.153,55.26,36,41.9,0
28.34,8.36,5.95,9.53,0.097,48.77,108,30.1,0
31.01,8.06,4.64,30.56,0.101,50.32,26,52.9,0
30.08,7.08,4.99,9.46,0.034,31.03,24,40.7,0
31.67,8.46,4.17,25.73,0.394,69.16,48,25.4,0
28.69,9.03,6.13,18.9,0.063,23.49,12,29.5,0
27.61,8.35,4.13,14.98,0.071,46.64,114,25.6,0
28.55,8.58,6.86,15.54,0.335,21.95,128,37.1,0
29.48,7.85,4.61,17.8,0.171,40.53,106,52.3,0
29.35,6.89,5.03,19.25,0.197,33.43,105,34.3,0
26.83,6.79,5.95,12.48,0.032,44.04,22,59.6,0
29.18,7.94,5.03,16.6,0.133,47.13,76,43.2,0
29.46,7.47,4.63,13.38,0.032,27.65,20,40.7,0
34.03,7.3,4.96,10.71,0.055,41.56,46,45.3,0
32.75,7.77,6.12,13.1,0.434,62.91,69,65.9,1
27.29,8.14,4.17,11.1,0.046,22.32,91,24.4,0
28.43,7.0,4.84,15.48,0.19,29.19,43,69.8,0
26.07,7.55,5.01,20.59,0.05,54.91,40,59.4,0
27.82,8.63,6.08,18.72,0.056,43.16,108,44.7,0
29.63,7.21,4.88,29.85,0.617,44.27,36,62.7,1
31.41,8.28,7.26,4.74,0.109,57.33,68,40.2,0
27.54,7.53,4.8,20.82,0.029,30.09,44,49.3,0
27.69,8.1,4.7,18.04,0.196,34.21,112,36.9,0
24.71,8.4,4.79,22.89,0.279,32.36,74,59.5,1
28.67,8.21,3.35,22.3,0.21,36.78,22,34.4,0
26.88,8.3,3.7,17.01,0.101,62.09,27,44.2,0
27.94,7.17,4.34,19.04,0.104,16.48,126,55.2,0
27.25,8.41,6.42,13.54,0.075,24.09,122,60.7,0
28.81,7.33,4.96,21.68,0.041,21.51,102,32.7,0
25.48,7.94,4.39,6.73,0.15,63.03,19,56.3,1
26.07,7.94,6.53,22.66,0.097,32.78,97,30.3,0
33.26,8.07,6.94,17.86,0.033,37.1,89,12.7,0
26.43,7.99,6.57,15.08,0.111,17.78,122,33.8,0
26.81,7.34,3.93,16.6,0.063,38.06,68,57.5,0
32.67,7.06,4.38,17.04,0.144,55.0,66,44.8,0
34.81,8.28,7.27,25.78,0.134,45.79,85,37.0,0
26.66,7.9,5.3,35.0,0.086,40.38,27,45.8,0
28.26,8.43,4.67,25.32,0.115,18.53,99,45.3,0
29.68,7.78,5.9,14.61,0.123,37.08,69,54.3,0
32.46,7.03,6.26,21.78,0.229,44.2,32,20.8,0
27.03,8.33,4.29,22.04,0.112,27.12,107,43.5,0
28.51,7.6,5.27,12.45,0.076,51.82,41,46.9,0
30.55,7.99,6.16,10.44,0.093,55.28,113,24.5,0
29.87,7.44,3.55,17.62,0.374,34.07,42,24.3,0
28.25,8.7,5.02,22.85,0.052,52.89,68,39.5,0
28.73,7.32,3.61,8.33,0.098,40.35,62,45.1,0
26.25,7.61,3.77,13.67,0.097,59.21,97,45.2,0
28.52,7.86,4.3,21.44,0.101,72.51,32,36.7,0
28.47,7.2,5.6,18.25,0.039,25.6,39,36.0,0
29.46,7.98,4.6,26.5,0.093,53.54,33,39.1,0
27.89,8.69,4.19,9.53,0.073,61.57,37,49.5,0
29.94,7.53,5.06,32.11,0.144,27.44,64,63.7,0
31.03,8.02,3.57,8.77,0.253,33.37,80,11.7,0
29.31,6.29,5.54,5.83,0.153,33.2,113,54.3,0
29.7,7.78,6.41,17.65,0.127,40.01,60,43.3,0
29.11,7.63,4.9,11.19,0.164,36.65,59,52.9,0
29.0,7.35,4.75,17.77,0.136,39.03,29,62.8,0
27.56,8.39,5.47,17.56,0.114,54.57,21,33.7,0
29.63,7.62,2.46,16.83,0.223,13.56,101,59.2,0
28.81,7.7,5.67,12.95,0.091,27.39,85,26.2,0
33.19,7.59,8.88,20.6,0.039,52.05,73,46.9,0
32.15,6.75,4.85,16.1,0.071,50.29,63,41.4,1
29.77,7.18,4.85,24.62,0.063,26.12,72,45.7,0
27.47,8.33,5.93,16.92,0.444,50.4,111,30.2,0
26.78,6.64,7.06,12.21,0.263,61.9,32,51.6,1
31.38,7.38,6.22,7.87,0.128,41.26,69,68.8,0
29.53,7.58,2.31,16.97,0.064,26.88,38,30.4,0
29.96,8.76,5.7,10.38,0.221,55.12,22,47.8,0
25.51,8.22,8.21,9.9,0.124,67.85,93,57.8,0
30.85,7.49,5.78,21.16,0.091,28.71,94,40.5,0
29.91,8.52,3.56,7.33,0.125,42.59,112,65.4,0
26.78,7.39,5.35,26.47,0.093,58.35,12,38.6,0
28.06,8.36,3.4,18.96,0.163,43.73,31,43.3,0
29.53,7.05,6.54,17.74,0.035,15.79,78,30.1,0
29.1,8.39,3.81,11.79,0.162,48.65,107,46.9,0
28.42,7.58,5.09,22.59,0.093,27.32,122,45.0,0
28.79,7.23,3.93,17.98,0.225,22.94,104,54.5,0
28.5,7.68,4.32,13.88,0.267,16.08,118,35.5,0
29.31,7.95,6.86,19.2,0.308,59.86,107,34.8,0
31.94,7.53,5.13,7.9,0.467,29.48,47,51.9,0
23.87,8.1,4.3,8.19,0.301,47.0,79,66.0,1
28.53,7.48,3.57,11.28,0.22,50.68,86,54.4,0
29.35,8.14,2.66,20.1,0.04,44.43,52,72.7,1
29.59,8.04,3.44,17.98,0.008,46.45,116,53.3,0
28.26,7.77,5.14,24.29,0.241,47.72,102,52.8,0
25.49,7.56,6.23,12.48,0.055,44.07,72,55.2,0
29.66,7.88,4.3,21.45,0.69,30.6,67,67.3,0
32.45,8.1,6.96,17.32,0.026,29.26,105,63.6,0
25.93,8.93,4.1,12.34,0.213,40.43,36,28.7,0
30.73,8.32,4.7,20.31,0.135,40.11,36,57.0,0
28.34,8.34,3.65,17.6,0.029,48.44,58,49.0,0
28.88,9.5,6.24,14.23,0.135,58.52,25,42.1,0
26.89,8.08,7.62,18.25,0.061,47.16,64,18.4,0
28.33,8.07,2.8,17.22,0.109,29.84,61,21.9,0
31.6,8.19,4.57,17.08,0.11,9.28,70,39.5,0
30.17,7.25,6.58,15.52,0.062,30.47,65,23.0,0
32.46,7.56,3.19,10.17,0.086,21.83,117,39.8,0
31.35,7.52,5.71,18.45,0.057,31.04,42,55.7,0
29.88,8.16,6.53,13.18,0.018,45.63,59,36.3,0
32.49,7.7,5.1,11.88,0.126,43.27,98,46.3,0
29.88,7.88,5.69,16.56,0.3,69.87,44,29.0,0
30.66,8.4,7.2,22.4,0.06,49.25,88,49.5,0
28.41,8.27,7.44,19.11,0.407,70.64,125,52.6,1
29.13,7.71,4.92,14.81,0.466,52.73,55,23.7,0
27.61,7.43,4.33,14.57,0.08,58.29,39,33.7,0
30.98,8.42,3.85,21.81,0.097,36.62,32,26.0,0
26.64,8.23,6.22,3.62,0.082,25.88,11,52.6,0
30.56,6.92,3.29,22.78,0.041,35.27,44,47.5,1
28.62,7.63,4.68,6.76,0.097,41.82,111,44.3,0
31.34,7.89,5.13,9.51,0.089,32.58,40,43.1,0
30.5,8.23,4.37,14.91,0.125,26.98,124,49.8,0
32.64,8.3,5.35,31.02,0.13,48.25,124,50.1,1
30.46,7.96,8.21,28.06,0.038,26.92,91,37.6,0
25.86,8.12,4.85,22.24,0.183,19.0,127,35.5,0
28.87,7.84,4.46,20.14,0.096,25.17,58,44.1,0
26.66,7.43,6.27,6.83,0.046,38.48,124,42.2,0
27.96,7.66,5.3,18.94,0.095,27.14,75,75.9,0
32.02,7.81,6.8,14.7,0.134,38.58,19,39.2,0
30.28,7.78,5.21,13.1,0.34,51.01,109,49.3,0
27.6,6.76,4.69,18.93,0.302,50.62,124,52.0,0
26.97,7.58,2.77,15.17,0.074,32.09,116,66.0,0
29.07,7.83,2.98,23.22,0.102,22.44,60,32.8,1
26.57,7.65,2.71,6.38,0.055,33.37,22,65.1,1
27.66,7.66,5.47,18.45,0.151,51.83,80,42.8,0
29.62,8.07,3.3,12.73,0.078,55.34,114,82.5,0
31.31,7.21,6.57,15.54,0.099,47.29,110,50.4,0
30.22,6.9,5.04,19.83,0.247,60.02,84,26.6,0
24.42,7.61,4.69,11.3,0.038,67.94,104,42.0,0
29.61,8.22,3.95,18.99,0.303,34.75,13,65.0,0
29.14,8.73,5.78,16.73,0.162,64.3,84,46.2,0
29.83,8.23,3.99,14.04,0.293,38.09,23,44.1,0
32.23,6.99,3.77,15.18,0.204,57.3,99,55.8,1
24.87,7.67,6.49,17.07,0.232,52.63,15,39.8,0
27.82,7.94,5.44,13.39,0.12,12.34,81,41.8,0
30.18,7.9,4.71,18.04,0.045,27.51,123,30.8,0
25.84,8.1,5.8,16.33,0.07,23.68,23,70.9,0
31.95,7.3,5.01,14.33,0.058,15.27,61,26.7,0
29.74,7.84,5.48,27.54,0.013,55.19,14,47.5,0
30.69,8.03,3.98,20.49,0.247,73.03,95,52.2,0
27.86,8.25,7.59,15.7,0.109,38.13,121,44.8,0
30.63,7.36,4.28,18.88,0.054,54.81,10,26.2,0
31.14,7.61,6.95,11.84,0.453,64.27,75,30.0,1
29.47,6.31,4.76,15.38,0.59,45.12,105,52.8,1
29.47,7.46,6.01,16.08,0.033,41.62,13,33.3,0
29.54,7.51,5.92,10.52,0.097,38.31,67,13.9,0
27.27,7.24,6.43,20.32,0.092,50.06,25,50.8,0
28.7,7.89,3.95,14.97,0.05,55.12,120,31.9,0
28.69,7.77,6.34,15.87,0.243,48.93,71,54.5,0
29.77,6.56,7.31,14.59,0.013,48.41,72,42.0,0
31.0,7.92,4.68,35.0,0.376,41.23,129,41.3,0
26.88,7.29,5.04,14.02,0.124,18.11,104,45.8,0
28.75,8.07,4.35,5.59,0.428,55.47,47,27.9,0
31.96,7.09,4.57,8.4,0.116,22.73,85,32.6,0
27.51,7.82,7.14,22.56,0.092,51.29,45,41.1,0
27.36,7.64,3.74,26.02,0.257,53.34,72,27.8,0
29.4,7.97,3.82,13.91,0.426,24.89,107,55.7,0
30.69,7.87,7.01,25.67,0.379,32.88,123,40.4,0
29.02,7.66,5.78,22.45,0.022,73.82,124,23.3,0
31.66,6.96,7.65,16.86,0.312,40.81,69,36.6,1
30.71,6.99,4.44,16.44,0.088,23.7,117,46.5,0
30.68,7.48,5.16,19.09,0.106,54.01,117,38.3,0
30.11,7.8,4.17,23.26,0.086,30.41,75,51.0,0
33.66,7.47,5.18,20.38,0.07,13.19,14,53.6,0
28.59,8.14,2.78,13.94,0.098,49.8,24,81.0,1
24.99,7.65,5.86,16.95,0.048,28.25,88,62.3,0
32.21,7.27,5.4,29.89,0.314,46.82,109,20.5,1
28.08,7.65,4.93,19.51,0.202,29.81,119,39.6,0
29.22,7.92,4.51,23.22,0.143,52.61,39,41.0,0
31.62,7.98,3.88,21.24,0.086,44.75,117,53.6,0
25.8,8.83,5.91,19.64,0.074,5.0,109,31.0,1
26.5,7.43,3.54,18.65,0.167,47.73,68,37.0,0
25.8,7.76,5.64,23.38,0.146,37.65,54,26.3,0
27.41,8.03,7.59,22.31,0.27,63.25,66,36.0,0
29.88,7.79,6.86,19.58,0.075,47.93,91,36.5,0
30.05,7.52,3.12,13.84,0.069,53.34,107,40.3,0
29.55,6.95,4.33,20.31,0.196,31.34,30,27.2,0
26.17,7.52,5.53,17.6,0.227,30.15,50,59.7,0
24.38,7.21,4.91,16.15,0.56,41.62,24,52.1,1
29.11,6.85,3.25,34.07,0.02,36.59,122,23.3,1
28.06,7.36,5.48,8.77,0.326,62.07,58,45.4,0
29.92,7.22,4.99,23.75,0.133,39.7,40,21.5,0
30.4,8.12,7.39,12.82,0.079,23.63,34,65.1,0
29.28,8.13,4.68,18.79,0.169,29.59,18,69.2,0
30.52,7.3,6.46,33.41,0.165,56.48,66,44.2,0
29.46,7.66,3.42,12.23,0.081,39.49,102,32.2,0
30.06,6.78,3.71,13.66,0.022,38.69,48,35.0,0
27.59,7.53,5.9,17.89,0.327,57.9,58,38.2,0
28.64,8.02,6.35,12.92,0.063,28.28,86,43.4,0
29.39,8.25,3.8,23.3,0.055,8.47,52,65.6,0
30.64,7.41,5.03,14.79,0.069,29.21,98,59.3,0
28.21,8.38,3.27,21.92,0.219,45.63,48,59.6,0
30.04,6.97,4.77,10.02,0.089,38.26,63,47.6,0
28.47,7.11,6.05,7.16,0.07,18.59,127,27.7,0
28.76,8.19,4.46,16.63,0.161,57.24,110,33.4,0
30.66,8.72,4.69,8.59,0.144,44.45,78,45.9,0
25.01,8.07,3.59,27.11,0.072,47.84,57,27.0,0
26.41,7.78,4.19,8.82,0.022,48.29,129,49.6,0
26.04,6.59,7.2,11.77,0.216,22.52,65,57.1,0
24.33,6.69,5.09,20.48,0.146,46.54,51,53.2,0
27.64,7.87,3.75,14.48,0.014,55.61,81,52.6,0
30.5,7.6,4.61,8.89,0.36,59.1,59,17.0,0
28.43,7.19,3.0,30.24,0.013,52.82,116,65.0,1
29.4,7.84,3.73,11.99,0.059,49.7,35,21.5,0
31.18,7.86,6.7,16.82,0.062,15.94,16,42.7,0
31.66,8.32,4.82,16.74,0.073,41.78,61,54.3,0
28.86,7.88,7.36,22.26,0.071,27.65,123,50.4,0
31.71,8.48,4.88,20.77,0.036,61.23,17,25.8,0
29.18,7.8,4.96,13.04,0.135,58.96,106,28.5,0
27.33,7.74,5.8,16.05,0.242,27.74,10,49.3,0
27.81,8.39,1.66,16.64,0.134,41.31,76,52.7,0
26.04,7.26,5.26,22.49,0.152,45.73,64,28.4,0
27.22,9.35,4.94,10.99,0.091,55.51,29,50.9,0
28.28,8.01,6.86,30.11,0.13,16.87,99,22.3,0
30.61,8.01,6.21,13.44,0.161,8.86,31,54.4,0
32.44,8.09,3.58,17.95,0.202,42.57,62,31.7,0
26.24,8.83,6.55,11.04,0.066,5.0,76,46.2,0
29.79,8.24,4.67,10.21,0.058,44.38,72,43.7,0
26.92,6.92,3.87,12.75,0.008,50.88,13,62.4,0
29.95,8.57,5.25,12.18,0.434,60.54,63,48.6,0
